BE     | 2025-02-18T21:21:42.969+09:00 DEBUG 1 --- [undaid] [pool-4-thread-1] o.s.d.redis.core.RedisConnectionUtils    : Fetching Redis Connection from RedisConnectionFactory
BE     | 2025-02-18T21:21:42.970+09:00 DEBUG 1 --- [undaid] [pool-4-thread-1] o.s.d.redis.core.RedisConnectionUtils    : Closing Redis Connection
BE     | 2025-02-18T21:21:42.974+09:00 DEBUG 1 --- [undaid] [pool-4-thread-1] o.s.d.redis.core.RedisConnectionUtils    : Fetching Redis Connection from RedisConnectionFactory
BE     | 2025-02-18T21:21:42.976+09:00 DEBUG 1 --- [undaid] [pool-4-thread-1] o.s.d.redis.core.RedisConnectionUtils    : Closing Redis Connection
BE     | [Hibernate] 
BE     |     insert 
BE     |     into
BE     |         games
BE     |         (ended_at, human_win, play_time, room_title, started_at) 
BE     |     values
BE     |         (?, ?, ?, ?, ?)
BE     | 2025-02-18T21:21:42.989+09:00 DEBUG 1 --- [undaid] [pool-4-thread-1] c.s.u.s.r.service.GameResultService      : Games 객체 성공적으로 저장
BE     | 2025-02-18T21:21:42.989+09:00 DEBUG 1 --- [undaid] [pool-4-thread-1] o.s.d.redis.core.RedisConnectionUtils    : Fetching Redis Connection from RedisConnectionFactory
BE     | 2025-02-18T21:21:42.995+09:00 DEBUG 1 --- [undaid] [pool-4-thread-1] o.s.d.redis.core.RedisConnectionUtils    : Closing Redis Connection
BE     | 2025-02-18T21:21:42.995+09:00 ERROR 1 --- [undaid] [pool-4-thread-1] c.s.u.s.r.service.GameResultService      : 게임 데이터 저장 중 예상하지 못한 에러 발생: Error in execution
BE     | 2025-02-18T21:21:42.996+09:00  INFO 1 --- [undaid] [pool-4-thread-1] c.s.u.s.r.service.GameResultService      : 게임 종료가 성공적으로 진행됐습니다.: 2
BE     | 2025-02-18T21:21:46.305+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-1] c.c.socketio.handler.EncoderHandler      : Out message: 2 sessionId: 11c06c81-c627-40c4-be33-e43bd3b3986b
BE     | 2025-02-18T21:21:46.305+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-1] i.n.h.c.h.w.WebSocket08FrameEncoder      : Encoding WebSocket Frame opCode=1 length=3
BE     | 2025-02-18T21:21:46.305+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-7] c.c.socketio.handler.EncoderHandler      : Out message: 2 sessionId: 869aa11d-e700-494b-9b7a-4b857dc490ae
BE     | 2025-02-18T21:21:46.305+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-7] i.n.h.c.h.w.WebSocket08FrameEncoder      : Encoding WebSocket Frame opCode=1 length=3
BE     | 2025-02-18T21:21:46.305+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-8] c.c.socketio.handler.EncoderHandler      : Out message: 2 sessionId: 2a9daf19-73f0-403a-8bce-0ca58a5a35e6
BE     | 2025-02-18T21:21:46.305+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-8] i.n.h.c.h.w.WebSocket08FrameEncoder      : Encoding WebSocket Frame opCode=1 length=3
BE     | 2025-02-18T21:21:46.316+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-8] i.n.h.c.h.w.WebSocket08FrameDecoder      : Decoding WebSocket Frame opCode=1
BE     | 2025-02-18T21:21:46.317+09:00 TRACE 1 --- [undaid] [ntLoopGroup-5-7] i.n.h.c.h.w.WebSocket08FrameDecoder      : Decoding WebSocket Frame opCode=1
